Record,Description,Connection strength,Preferred Stage,Preferred Sector
Bling Capital,Bling Capital is an early stage venture fund that helps entrepreneurs find product / market fit. The company provides a Product Council of 100+ top product leaders to assist in building winning products loved by customers. Bling Capital invests in cons...,Very weak,"Angel,Pre-Seed,Seed,Early Stage","Consumer,E-Commerce / Marketplaces,Insurtech"
Dunhill Ventures,"Dunhill Ventures specializes in providing bespoke fundraising and investment solutions across various sectors, including disruptive technology, clean technology, real estate, and life sciences, while leveraging a global network of financiers and indust...",Weak,None,"Biotech / Life Sciences,Climate Tech"
draper vc,"Draper Associates is a seed stage venture capital firm that supports entrepreneurs in building and scaling their businesses, emphasizing long-term growth and transformation in various industries.",Very weak,"Angel,Pre-Seed,Seed,Early Stage",
Spider Capital,"Spider Capital is a seed stage venture capital firm that invests in and supports innovative enterprise cloud startups focused on the digital transformation of various industries, including manufacturing and petrochemicals, by providing solutions such a...",Very weak,"Angel,Pre-Seed,Seed,Early Stage","Enterprise,Cloud Computing"
B Capital Group,"B Capital empowers entrepreneurs by providing early and late-stage investment support in the Technology, Healthcare, and Climate sectors, helping them to scale their businesses globally.",Very weak,"Early Stage,Late Stage","Healthcare,Climate Tech"
bfc.vc,"Blockchain Founders Capital invests in entrepreneurs who are creating innovative and transformative Web3 businesses, supporting them in their journey to redefine the industry.",Very weak,"Pre-Seed,Seed,Series A,Early Stage","Web3,Blockchain"
Adapt Ventures,"Adapt Ventures is an early stage venture firm that invests globally at the pre-seed and seed stage, providing initial investments ranging from $100k to $500k. With a focus on collaboration and impact, we support businesses in accessing new markets and ...",Very weak,"Pre-Seed,Seed,Early Stage",
Benhamou Global Ventures,"BGV is an early stage venture capital firm in Silicon Valley, specializing in global Enterprise 4.0 technology innovation. They provide financial and human capital support from seed stage to IPO, focusing on startups that integrate AI, automation, and ...",Very weak,"Seed,Series A,Early Stage","AI,Enterprise"
Fabric Ventures,"Fabric Ventures is a venture capital firm dedicated to funding visionary Web 3 founders who build organizations and institutions for individuals, by individuals. They have been investing in builders, businesses, and digital assets since 2012, focusing ...",Weak,"Seed,Series A,Early Stage",Web3
Upfront Ventures,"Upfront Ventures is a venture capital firm based in Los Angeles, investing in technology businesses across digital media, SaaS, consumer internet, and retail innovation. With a focus on early-stage tech founders and startups, Upfront Ventures has been ...",Very weak,"Angel,Seed,Series A,Early Stage","AI,Consumer,Cloud Computing,E-Commerce / Marketplaces"
Alpha Partners,"Alpha Partners accelerates private technology companies by investing in top tier growth equity rounds with early stage VCs, providing rational and agile capital to fill financing gaps and support rapid growth.",Weak,"Early Stage,Growth Stage",
AVG Basecamp Fund,"Alumni Ventures is America's largest venture firm for individual investors, offering professional-grade venture capital portfolios since 2014. With a network of 10,000+ investors, we provide access to diversified venture portfolios in highly competitiv...",Very weak,"Angel,Pre-Seed,Seed,Series A,Series B,Early Stage",
Entrepreneurs Roundtable Accelerator,"Entrepreneurs Roundtable Accelerator (ERA) is an early stage seed fund and technology accelerator based in New York City. They provide initial investments of $150K on a 6% post-money SAFE, with potential for follow-on funding. ERA is dedicated to foste...",Weak,"Seed,Early Stage",
2048 Ventures,"2048 Ventures is a visionary and thesis-driven venture capital firm that leads pre-seed rounds in technology startups across the US and Canada. With a team of experienced founders, operators, and product enthusiasts, we back over 200 startups and are d...",Weak,Pre-Seed,
25Madison,"25madison is an NYC-based Venture Platform that specializes in building companies from the ground up, investing in early-stage startups, and propelling brands into their next phase of growth. They offer a range of services including incubation, investm...",Weak,"Pre-Seed,Seed,Early Stage","Consumer,E-Commerce / Marketplaces"
Third Act Ventures,Third Act Ventures is an early stage Venture Capital firm specializing in Agetech. They invest in companies that aim to improve the lives of older adults and their caregivers through innovative technologies and solutions. Their portfolio includes Trust...,Very weak,"Angel,Seed,Series A,Early Stage","Healthcare,Consumer"
Morningstar Ventures,"Morningstar Ventures is a global investment firm specializing in digital assets and blockchain technology, led by Founder & CEO Danilo S. Carlucci. We back ambitious founders through token and equity investments, with a primary focus on the Elrond ecos...",Good,"Pre-Seed,Seed,Early Stage,Growth Stage",Blockchain
